Pk,Tm,Player,College,Yrs,G,TOTMP,TOTPTS,TOTTRB,TOTAST,FG%,3P%,FT%,WS,WS/48,BPM,VORP,DraftYr,MPG,PPG,RPG,APG,playerurl,DraftYear
1,BRK,Derrick Coleman,Syracuse,15.0,781.0,25903.0,12884.0,7232.0,1985.0,0.447,0.295,0.769,64.3,0.119,1.4,22.3,1990,33.2,16.5,9.3,2.5,https://www.sports-reference.com/cbb/players/derrick-coleman-1.html,1990
2,OKC,Gary Payton,Oregon State,17.0,1335.0,47117.0,21813.0,5269.0,8966.0,0.466,0.317,0.729,145.5,0.148,3.3,62.5,1990,35.3,16.3,3.9,6.7,https://www.sports-reference.com/cbb/players/gary-payton-1.html,1990
3,DEN,Mahmoud Abdul-Rauf,LSU,9.0,586.0,15628.0,8553.0,1087.0,2079.0,0.442,0.354,0.905,25.2,0.077,-0.8,4.5,1990,26.7,14.6,1.9,3.5,https://www.sports-reference.com/cbb/players/mahmoud-abdul-rauf-1.html,1990
4,ORL,Dennis Scott,Georgia Tech,10.0,629.0,17983.0,8094.0,1774.0,1296.0,0.417,0.397,0.793,33.4,0.089,0.2,9.9,1990,28.6,12.9,2.8,2.1,https://www.sports-reference.com/cbb/players/dennis-scott-1.html,1990
5,CHA,Kendall Gill,Illinois,15.0,966.0,29481.0,12914.0,4002.0,2945.0,0.434,0.3,0.754,47.8,0.078,0.1,15.8,1990,30.5,13.4,4.1,3.0,https://www.sports-reference.com/cbb/players/kendall-gill-1.html,1990
6,MIN,Felton Spencer,Louisville,12.0,640.0,12298.0,3354.0,3436.0,213.0,0.484,0.0,0.658,20.9,0.081,-4.3,-7.0,1990,19.2,5.2,5.4,0.3,https://www.sports-reference.com/cbb/players/felton-spencer-1.html,1990
7,SAC,Lionel Simmons,La Salle,7.0,454.0,13472.0,5833.0,2833.0,1498.0,0.433,0.305,0.771,16.9,0.06,0.0,6.7,1990,29.7,12.8,6.2,3.3,https://www.sports-reference.com/cbb/players/lionel-simmons-1.html,1990
8,LAC,Bo Kimble,Loyola Marymount,3.0,105.0,1336.0,574.0,162.0,98.0,0.386,0.291,0.728,0.1,0.004,-5.7,-1.2,1990,12.7,5.5,1.5,0.9,https://www.sports-reference.com/cbb/players/bo-kimble-1.html,1990
9,MIA,Willie Burton,Minnesota,8.0,316.0,6666.0,3243.0,932.0,393.0,0.424,0.345,0.786,9.1,0.065,-2.5,-0.9,1990,21.1,10.3,2.9,1.2,https://www.sports-reference.com/cbb/players/willie-burton-1.html,1990
10,ATL,Rumeal Robinson,Michigan,6.0,336.0,6098.0,2546.0,606.0,1179.0,0.432,0.344,0.611,5.2,0.041,-1.5,0.8,1990,18.1,7.6,1.8,3.5,https://www.sports-reference.com/cbb/players/rumeal-robinson-1.html,1990
11,GSW,Tyrone Hill,Xavier,14.0,801.0,22388.0,7532.0,6854.0,647.0,0.502,0.0,0.643,56.2,0.12,-1.9,0.8,1990,28.0,9.4,8.6,0.8,https://www.sports-reference.com/cbb/players/tyrone-hill-1.html,1990
12,HOU,Alec Kessler,Georgia,4.0,210.0,2937.0,1084.0,751.0,81.0,0.426,0.417,0.744,2.0,0.033,-5.9,-2.8,1990,14.0,5.2,3.6,0.4,https://www.sports-reference.com/cbb/players/alec-kessler-1.html,1990
13,LAC,Loy Vaught,Michigan,11.0,689.0,16993.0,6984.0,4881.0,652.0,0.504,0.244,0.718,35.8,0.101,-1.5,2.2,1990,24.7,10.1,7.1,0.9,https://www.sports-reference.com/cbb/players/loy-vaught-1.html,1990
14,SAC,Travis Mays,Texas,3.0,115.0,2964.0,1273.0,233.0,326.0,0.41,0.362,0.749,2.4,0.039,-2.6,-0.5,1990,25.8,11.1,2.0,2.8,https://www.sports-reference.com/cbb/players/travis-mays-1.html,1990
15,MIA,Dave Jamerson,Ohio University,3.0,90.0,594.0,306.0,77.0,61.0,0.392,0.277,0.86,0.2,0.018,-3.9,-0.3,1990,6.6,3.4,0.9,0.7,https://www.sports-reference.com/cbb/players/dave-jamerson-1.html,1990
16,MIL,Terry Mills,Michigan,11.0,678.0,16422.0,7175.0,3680.0,891.0,0.457,0.384,0.781,33.3,0.097,-0.6,5.9,1990,24.2,10.6,5.4,1.3,https://www.sports-reference.com/cbb/players/terry-mills-1.html,1990
17,NYK,Jerrod Mustaf,Maryland,4.0,179.0,1902.0,721.0,452.0,99.0,0.449,0.0,0.648,1.7,0.043,-4.1,-1.0,1990,10.6,4.0,2.5,0.6,https://www.sports-reference.com/cbb/players/jerrod-mustaf-1.html,1990
18,SAC,Duane Causwell,Temple,11.0,541.0,9409.0,2648.0,2273.0,243.0,0.507,0.286,0.618,15.8,0.081,-2.3,-0.7,1990,17.4,4.9,4.2,0.4,https://www.sports-reference.com/cbb/players/duane-causwell-1.html,1990
